0.8	3.4569656492452753e-15
0.81	4.1446401560005125e-15
0.8200000000000001	5.076275880505171e-15
0.8300000000000001	6.164617072352316e-15
0.8400000000000001	7.227197420338466e-15
0.8500000000000001	9.028864929248272e-15
0.8600000000000001	1.0923039418702233e-14
0.8700000000000001	1.289350394768737e-14
0.8800000000000001	1.556239172803878e-14
0.8900000000000001	1.8542535594169498e-14
0.9	2.208206903236568e-14
0.91	2.6344353652173812e-14
0.92	3.1301834515376575e-14
0.93	3.696490163083169e-14
0.9400000000000001	4.3763899997062294e-14
0.9500000000000001	5.146644461337476e-14
0.9600000000000001	6.054789273229592e-14
0.9700000000000001	7.121309470392224e-14
0.9800000000000001	8.321156683134235e-14
0.9900000000000001	9.742309481907222e-14
1.08	4.981513201410927e-13
1.09	5.730515548524862e-13
1.1	6.5822753564825e-13
1.11	7.551053696226456e-13
1.12	8.651056991363407e-13
1.1300000000000001	9.714734175465367e-13
1.1400000000000001	1.1124730968014115e-12
1.1500000000000001	1.28568987820043e-12
1.1600000000000001	1.4633035784278412e-12
1.1700000000000002	1.6622513089476867e-12
1.1800000000000002	1.8853806683340356e-12
1.1900000000000002	2.1357165191500565e-12
1.2000000000000002	2.4147944117090483e-12
1.2100000000000002	2.726931187364805e-12
1.2200000000000002	3.0747693408534183e-12
1.2300000000000002	3.4621746114321973e-12
1.2400000000000002	3.892834189175232e-12
1.25	4.370688849624622e-12
1.26	4.900557086691469e-12
1.27	5.487382494186444e-12
1.28	6.135790260965373e-12
1.29	6.8519864519935074e-12
1.3	7.64150126934732e-12
1.31	8.511011009836978e-12
1.32	9.467191580225879e-12
1.33	1.0516971790070118e-11
1.34	1.1668707514983243e-11
1.35	1.2929617890070262e-11
1.36	1.430940405338769e-11
1.37	1.581666249357417e-11
1.3800000000000001	1.7461211111344593e-11
1.3900000000000001	1.9253102639233932e-11
1.4	2.1203218925356015e-11
1.41	2.3322837775297666e-11
1.42	2.5623457365025637e-11
1.43	2.8117721334664744e-11
1.44	3.0818154265323116e-11
1.4500000000000002	3.3738232287367435e-11
1.4600000000000002	3.689157404532873e-11
1.4700000000000002	4.029281648154764e-11
1.4800000000000002	4.395644662617969e-11
1.4900000000000002	4.789767355736426e-11
1.5	5.213205041258067e-11
1.51	5.66754942083143e-11
1.52	6.154434072568454e-11
1.53	6.675471154448914e-11
1.54	7.232330779634879e-11
1.55	7.826685276679663e-11
1.56	8.460199971319713e-11
1.57	9.134535433125918e-11
1.58	9.851332919859436e-11
1.59	1.0612207847025199e-10
1.6	1.1418716520889361e-10
1.61	1.227239465794827e-10
1.62	1.3174653929159862e-10
1.6300000000000001	1.4126888466750303e-10
1.6400000000000001	1.513031797335452e-10
1.6500000000000001	1.618608512683212e-10
1.6600000000000001	1.7295172701908818e-10
1.67	1.845841425257715e-10
1.68	1.9676435140318097e-10
1.69	2.0949675054026624e-10
1.7	2.2278321657875193e-10
1.71	2.3662292302321996e-10
1.72	2.5101213842497647e-10
1.73	2.6594307133104175e-10
1.74	2.814033906157366e-10
1.75	2.973739686071925e-10
1.76	3.138243793677335e-10
1.77	3.3070423316354256e-10
1.78	3.479230997387296e-10
1.79	3.653076400764032e-10
1.8	3.8250736712502576e-10
1.81	3.9879186046102616e-10
1.82	4.126148025400453e-10
1.83	4.206848532136961e-10
1.84	4.1600283862084626e-10
1.841	4.1436540063688205e-10
1.842	4.12443970330414e-10
1.843	4.1021607110036577e-10
1.844	4.07657431174634e-10
1.845	4.0474192544754735e-10
1.846	4.014416126603779e-10
1.84669	3.989244446306875e-10
1.84674	2.989244446306875e-10
1.84679	1.989244446306875e-10
1.847	-1.5999740376864364e-9
1.848	-1.7918567197479621e-9
1.849	-2.000330572581541e-9
1.85	-2.226788138794086e-9
1.86	-1.2596474560687102e-6
1.87	-9.560430299513596e-7
1.8800000000000001	-3.236351801943141e-8
1.8900000000000001	-7.249197277106918e-8
1.9000000000000001	-1.597106699981994e-7
